city_id,zone_id,date,pm25,pm10,no2,pollution_trend_3days,humidity,wind_speed,rainfall_last_3_days,water_quality_index,reservoir_level,violations_last_7_days,avg_violation_severity,repeat_offender_rate,population_density,industrial_density,green_cover_percentage,drainage_quality_index,social_vulnerability_index,risk_score,pm25_lag1,pm25_lag2,pm25_lag3,risk_score_lag1,risk_score_lag2,risk_score_lag3,violations_last_7_days_lag1,violations_last_7_days_lag2,violations_last_7_days_lag3,pm25_7day_avg,pm25_t1,risk_t1,pm25_t3,risk_t3,pm25_t7,risk_t7,high_risk_zone
Delhi,Central_Delhi,2025-01-17,202,234,47,0,51,4,8,72,41,9,2.03,0.72,8332,0.55,21,0.31,0.72,24.78,219.0,212.0,210.0,19.98,21.76,21.36,0.0,0.0,2.0,195.28571428571428,217.0,24.04,167.0,22.7,199.0,24.4,0
Delhi,Central_Delhi,2025-01-18,217,284,46,1,75,4,16,52,72,4,3.52,0.58,8074,0.49,29,0.69,0.72,24.04,202.0,219.0,212.0,24.78,19.98,21.76,9.0,0.0,0.0,200.42857142857142,127.0,17.9,203.0,22.8,155.0,17.7,0
Delhi,Central_Delhi,2025-01-19,127,271,64,0,68,6,5,65,55,0,3.39,0.6,10150,0.59,13,0.64,0.44,17.9,217.0,202.0,219.0,24.04,24.78,19.98,4.0,9.0,0.0,193.85714285714286,167.0,22.7,168.0,22.5,196.0,24.04,0
Delhi,Central_Delhi,2025-01-20,167,252,45,1,59,1,0,66,73,5,4.91,0.41,9991,0.33,18,0.72,0.8,22.7,127.0,217.0,202.0,17.9,24.04,24.78,0.0,4.0,9.0,193.42857142857142,203.0,22.8,173.0,22.98,110.0,17.5,0
Delhi,Central_Delhi,2025-01-21,203,221,58,1,66,4,16,70,65,2,4.21,0.18,12446,0.84,26,0.7,0.89,22.8,167.0,127.0,217.0,22.7,17.9,24.04,5.0,0.0,4.0,192.42857142857142,168.0,22.5,199.0,24.4,174.0,22.56,0
Delhi,Central_Delhi,2025-01-22,168,190,34,0,58,2,19,63,62,6,2.59,0.11,13201,0.68,8,0.37,0.87,22.5,203.0,167.0,127.0,22.8,22.7,17.9,2.0,5.0,0.0,186.14285714285714,173.0,22.98,155.0,17.7,192.0,20.44,0
Delhi,Central_Delhi,2025-01-23,173,296,32,1,40,6,9,79,35,8,3.64,0.2,10756,0.31,28,0.35,0.57,22.98,168.0,203.0,167.0,22.5,22.8,22.7,6.0,2.0,5.0,179.57142857142858,199.0,24.4,196.0,24.04,121.0,20.7,0
Delhi,Central_Delhi,2025-01-24,199,272,34,-1,78,5,14,47,34,5,1.66,0.16,15095,0.48,15,0.7,0.82,24.4,173.0,168.0,203.0,22.98,22.5,22.8,8.0,6.0,2.0,179.14285714285714,155.0,17.7,110.0,17.5,186.0,22.92,0
Delhi,Central_Delhi,2025-01-25,155,159,51,1,82,6,12,63,30,2,3.77,0.52,13961,0.75,23,0.44,0.57,17.7,199.0,173.0,168.0,24.4,22.98,22.5,5.0,8.0,6.0,170.28571428571428,196.0,24.04,174.0,22.56,154.0,18.86,0
Delhi,Central_Delhi,2025-01-26,196,199,46,0,68,2,8,45,63,10,2.9,0.26,10426,0.46,21,0.39,0.69,24.04,155.0,199.0,173.0,17.7,24.4,22.98,2.0,5.0,8.0,180.14285714285714,110.0,17.5,192.0,20.44,100.0,22.1,0
Delhi,Central_Delhi,2025-01-27,110,276,40,1,40,1,13,72,49,2,1.6,0.55,8145,0.62,21,0.37,0.47,17.5,196.0,155.0,199.0,24.04,17.7,24.4,10.0,2.0,5.0,172.0,174.0,22.56,121.0,20.7,197.0,25.44,0
Delhi,Central_Delhi,2025-01-28,174,254,64,0,48,5,13,61,32,7,2.89,0.23,14322,0.43,23,0.75,0.56,22.56,110.0,196.0,155.0,17.5,24.04,17.7,2.0,10.0,2.0,167.85714285714286,192.0,20.44,186.0,22.92,189.0,23.1,0
Delhi,Central_Delhi,2025-01-29,192,266,64,-1,80,4,12,70,77,3,2.47,0.72,12622,0.64,27,0.34,0.34,20.44,174.0,110.0,196.0,22.56,17.5,24.04,7.0,2.0,10.0,171.28571428571428,121.0,20.7,154.0,18.86,81.0,16.92,0
Delhi,Central_Delhi,2025-01-30,121,177,62,0,50,1,12,70,60,11,5.0,0.77,9513,0.53,17,0.41,0.56,20.7,192.0,174.0,110.0,20.44,22.56,17.5,3.0,7.0,2.0,163.85714285714286,186.0,22.92,100.0,22.1,158.0,22.12,0
Delhi,Central_Delhi,2025-01-31,186,229,42,-1,71,6,2,71,76,8,3.34,0.19,12988,0.44,11,0.36,0.55,22.92,121.0,192.0,174.0,20.7,20.44,22.56,11.0,3.0,7.0,162.0,154.0,18.86,197.0,25.44,185.0,21.14,0
Delhi,Central_Delhi,2025-02-01,154,198,46,1,73,7,9,71,53,2,2.52,0.37,14049,0.31,13,0.56,0.59,18.86,186.0,121.0,192.0,22.92,20.7,20.44,8.0,11.0,3.0,161.85714285714286,100.0,22.1,189.0,23.1,155.0,17.7,0
Delhi,Central_Delhi,2025-02-02,100,257,62,1,83,2,10,71,47,10,2.2,0.4,15532,0.41,12,0.31,0.7,22.1,154.0,186.0,121.0,18.86,22.92,20.7,2.0,8.0,11.0,148.14285714285714,197.0,25.44,81.0,16.92,169.0,18.22,0
Delhi,Central_Delhi,2025-02-03,197,249,40,0,75,6,6,48,63,9,2.21,0.37,10989,0.38,5,0.78,0.73,25.44,100.0,154.0,186.0,22.1,18.86,22.92,10.0,2.0,8.0,160.57142857142858,189.0,23.1,158.0,22.12,170.0,19.6,0
Delhi,Central_Delhi,2025-02-04,189,257,60,0,83,7,16,54,69,7,3.59,0.21,8662,0.69,6,0.51,0.44,23.1,197.0,100.0,154.0,25.44,22.1,18.86,9.0,10.0,2.0,162.71428571428572,81.0,16.92,185.0,21.14,95.0,20.7,0
Delhi,Central_Delhi,2025-02-05,81,269,60,0,83,2,2,66,68,2,3.06,0.47,12502,0.81,16,0.72,0.49,16.92,189.0,197.0,100.0,23.1,25.44,22.1,7.0,9.0,10.0,146.85714285714286,158.0,22.12,155.0,17.7,153.0,18.22,0
Delhi,Central_Delhi,2025-02-06,158,259,30,1,50,6,1,49,31,5,3.07,0.67,9154,0.65,18,0.4,0.79,22.12,81.0,189.0,197.0,16.92,23.1,25.44,2.0,7.0,9.0,152.14285714285714,185.0,21.14,169.0,18.22,148.0,22.64,0
Delhi,Central_Delhi,2025-02-07,185,174,54,0,54,2,11,59,56,2,4.14,0.56,9397,0.54,18,0.54,0.85,21.14,158.0,81.0,189.0,22.12,16.92,23.1,5.0,2.0,7.0,152.0,155.0,17.7,170.0,19.6,141.0,24.1,0
Delhi,Central_Delhi,2025-02-08,155,250,42,1,61,7,0,69,75,0,3.01,0.39,12086,0.32,20,0.8,0.41,17.7,185.0,158.0,81.0,21.14,22.12,16.92,2.0,5.0,2.0,152.14285714285714,169.0,18.22,95.0,20.7,92.0,19.9,0
Delhi,Central_Delhi,2025-02-09,169,187,54,0,50,2,7,74,37,2,3.88,0.43,9166,0.79,11,0.57,0.38,18.22,155.0,185.0,158.0,17.7,21.14,22.12,0.0,2.0,5.0,162.0,170.0,19.6,153.0,18.22,130.0,18.0,0
Delhi,Central_Delhi,2025-02-10,170,206,41,1,49,6,8,66,77,0,2.01,0.79,12933,0.72,16,0.31,0.75,19.6,169.0,155.0,185.0,18.22,17.7,21.14,2.0,0.0,2.0,158.14285714285714,95.0,20.7,148.0,22.64,84.0,20.3,0
Delhi,Central_Delhi,2025-02-11,95,234,55,1,54,6,12,75,78,11,2.18,0.55,8662,0.35,10,0.58,0.52,20.7,170.0,169.0,155.0,19.6,18.22,17.7,0.0,2.0,0.0,144.71428571428572,153.0,18.22,141.0,24.1,170.0,20.7,0
Delhi,Central_Delhi,2025-02-12,153,233,60,-1,41,3,5,49,50,1,4.33,0.47,10257,0.44,5,0.57,0.34,18.22,95.0,170.0,169.0,20.7,19.6,18.22,11.0,0.0,2.0,155.0,148.0,22.64,92.0,19.9,88.0,20.1,0
Delhi,Central_Delhi,2025-02-13,148,236,38,0,73,6,2,42,73,8,3.37,0.24,13911,0.8,10,0.65,0.74,22.64,153.0,95.0,170.0,18.22,20.7,19.6,1.0,11.0,0.0,153.57142857142858,141.0,24.1,130.0,18.0,174.0,21.0,0
Delhi,Central_Delhi,2025-02-14,141,288,53,1,53,6,9,56,78,11,2.93,0.53,12992,0.31,21,0.67,0.68,24.1,148.0,153.0,95.0,22.64,18.22,20.7,8.0,1.0,11.0,147.28571428571428,92.0,19.9,84.0,20.3,210.0,21.94,0
Delhi,Central_Delhi,2025-02-15,92,165,48,0,80,4,8,54,59,11,4.14,0.16,9900,0.51,28,0.63,0.78,19.9,141.0,148.0,153.0,24.1,22.64,18.22,11.0,8.0,1.0,138.28571428571428,130.0,18.0,170.0,20.7,209.0,26.54,0
Delhi,Central_Delhi,2025-02-16,130,289,37,0,74,3,19,42,43,0,3.47,0.34,8787,0.41,12,0.8,0.46,18.0,92.0,141.0,148.0,19.9,24.1,22.64,11.0,11.0,8.0,132.71428571428572,84.0,20.3,88.0,20.1,202.0,24.78,0
Delhi,Central_Delhi,2025-02-17,84,241,65,0,45,4,13,69,32,8,3.32,0.19,8946,0.3,16,0.75,0.71,20.3,130.0,92.0,141.0,18.0,19.9,24.1,0.0,11.0,11.0,120.42857142857143,170.0,20.7,174.0,21.0,113.0,18.24,0
Delhi,Central_Delhi,2025-02-18,170,280,58,1,51,4,7,51,54,4,2.17,0.39,12067,0.38,26,0.49,0.43,20.7,84.0,130.0,92.0,20.3,18.0,19.9,8.0,0.0,11.0,131.14285714285714,88.0,20.1,210.0,21.94,146.0,20.56,0
Delhi,Central_Delhi,2025-02-19,88,222,58,1,68,1,2,78,51,8,4.4,0.5,15088,0.59,15,0.6,0.73,20.1,170.0,84.0,130.0,20.7,20.3,18.0,4.0,8.0,0.0,121.85714285714286,174.0,21.0,209.0,26.54,119.0,20.96,0
Delhi,Central_Delhi,2025-02-20,174,208,66,1,42,7,19,43,48,6,4.92,0.44,15109,0.45,18,0.35,0.48,21.0,88.0,170.0,84.0,20.1,20.7,20.3,8.0,4.0,8.0,125.57142857142857,210.0,21.94,202.0,24.78,140.0,24.78,0
Delhi,Central_Delhi,2025-02-21,210,289,54,-1,53,3,4,60,78,1,1.97,0.42,9834,0.38,21,0.5,0.52,21.94,174.0,88.0,170.0,21.0,20.1,20.7,6.0,8.0,4.0,135.42857142857142,209.0,26.54,113.0,18.24,93.0,19.64,0
Delhi,Central_Delhi,2025-02-22,209,213,59,1,61,3,14,47,52,11,2.03,0.53,11683,0.71,13,0.54,0.81,26.54,210.0,174.0,88.0,21.94,21.0,20.1,1.0,6.0,8.0,152.14285714285714,202.0,24.78,146.0,20.56,82.0,19.2,0
Delhi,Central_Delhi,2025-02-23,202,218,63,1,60,6,6,78,55,11,2.33,0.15,15461,0.82,14,0.39,0.54,24.78,209.0,210.0,174.0,26.54,21.94,21.0,11.0,1.0,6.0,162.42857142857142,113.0,18.24,119.0,20.96,162.0,20.72,0
Delhi,Central_Delhi,2025-02-24,113,203,53,0,61,7,11,44,52,0,2.72,0.8,15459,0.52,14,0.37,0.86,18.24,202.0,209.0,210.0,24.78,26.54,21.94,11.0,11.0,1.0,166.57142857142858,146.0,20.56,140.0,24.78,192.0,22.8,0
Delhi,Central_Delhi,2025-02-25,146,157,31,-1,72,5,13,74,33,8,3.9,0.39,8418,0.79,23,0.48,0.78,20.56,113.0,202.0,209.0,18.24,24.78,26.54,0.0,11.0,11.0,163.14285714285714,119.0,20.96,93.0,19.64,122.0,15.02,0
Delhi,Central_Delhi,2025-02-26,119,284,38,1,71,2,12,75,50,7,2.54,0.48,11758,0.49,28,0.52,0.68,20.96,146.0,113.0,202.0,20.56,18.24,24.78,8.0,0.0,11.0,167.57142857142858,140.0,24.78,82.0,19.2,182.0,20.44,0
Delhi,Central_Delhi,2025-02-27,140,219,69,-1,75,7,3,61,79,11,4.08,0.21,13599,0.4,5,0.58,0.87,24.78,119.0,146.0,113.0,20.96,20.56,18.24,7.0,8.0,0.0,162.71428571428572,93.0,19.64,162.0,20.72,135.0,19.9,0
Delhi,Central_Delhi,2025-02-28,93,193,51,0,62,4,19,68,35,8,4.29,0.21,9235,0.85,15,0.54,0.74,19.64,140.0,119.0,146.0,24.78,20.96,20.56,11.0,7.0,8.0,146.0,82.0,19.2,192.0,22.8,192.0,21.32,0
Delhi,Central_Delhi,2025-03-01,82,166,46,-1,55,2,9,67,70,8,3.35,0.31,11994,0.7,20,0.46,0.88,19.2,93.0,140.0,119.0,19.64,24.78,20.96,8.0,11.0,7.0,127.85714285714286,162.0,20.72,122.0,15.02,171.0,23.02,0
Delhi,Central_Delhi,2025-03-02,162,162,43,0,80,5,4,41,73,5,3.35,0.19,11504,0.46,18,0.72,0.81,20.72,82.0,93.0,140.0,19.2,19.64,24.78,8.0,8.0,11.0,122.14285714285714,192.0,22.8,182.0,20.44,169.0,19.0,0
Delhi,Central_Delhi,2025-03-03,192,226,63,0,65,4,8,68,59,7,3.54,0.14,15144,0.63,19,0.77,0.55,22.8,162.0,82.0,93.0,20.72,19.2,19.64,5.0,8.0,8.0,133.42857142857142,122.0,15.02,135.0,19.9,182.0,22.6,0
Delhi,Central_Delhi,2025-03-04,122,169,33,-1,63,7,1,76,49,0,3.79,0.7,12563,0.73,9,0.7,0.41,15.02,192.0,162.0,82.0,22.8,20.72,19.2,7.0,5.0,8.0,130.0,182.0,20.44,192.0,21.32,166.0,22.24,0
Delhi,Central_Delhi,2025-03-05,182,250,65,1,53,2,0,44,61,1,4.98,0.51,13969,0.71,9,0.65,0.47,20.44,122.0,192.0,162.0,15.02,22.8,20.72,0.0,7.0,5.0,139.0,135.0,19.9,171.0,23.02,199.0,20.88,0
Delhi,Central_Delhi,2025-03-06,135,245,35,-1,65,3,3,41,61,9,3.05,0.43,8409,0.59,23,0.52,0.37,19.9,182.0,122.0,192.0,20.44,15.02,22.8,1.0,0.0,7.0,138.28571428571428,192.0,21.32,169.0,19.0,155.0,21.42,0
Delhi,Central_Delhi,2025-03-07,192,175,59,-1,42,6,18,76,65,6,1.58,0.74,10503,0.35,26,0.43,0.6,21.32,135.0,182.0,122.0,19.9,20.44,15.02,9.0,1.0,0.0,152.42857142857142,171.0,23.02,182.0,22.6,113.0,21.22,0
Delhi,Central_Delhi,2025-03-08,171,261,64,0,46,1,3,65,51,9,3.06,0.26,10084,0.38,29,0.3,0.54,23.02,192.0,135.0,182.0,21.32,19.9,20.44,6.0,9.0,1.0,165.14285714285714,169.0,19.0,166.0,22.24,80.0,23.2,0
Delhi,Central_Delhi,2025-03-09,169,221,69,-1,71,6,1,57,30,3,1.63,0.67,9513,0.47,26,0.57,0.38,19.0,171.0,192.0,135.0,23.02,21.32,19.9,9.0,6.0,9.0,166.14285714285714,182.0,22.6,199.0,20.88,84.0,19.3,0
Delhi,Central_Delhi,2025-03-10,182,167,50,-1,41,6,6,53,39,7,4.08,0.8,13464,0.57,8,0.48,0.75,22.6,169.0,171.0,192.0,19.0,23.02,21.32,3.0,9.0,6.0,164.71428571428572,166.0,22.24,155.0,21.42,213.0,21.1,0
Delhi,Central_Delhi,2025-03-11,166,185,48,1,50,2,0,60,61,9,1.78,0.26,8487,0.46,23,0.37,0.71,22.24,182.0,169.0,171.0,22.6,19.0,23.02,7.0,3.0,9.0,171.0,199.0,20.88,113.0,21.22,85.0,16.36,0
Delhi,Central_Delhi,2025-03-12,199,284,39,0,48,6,0,41,77,1,4.08,0.71,14006,0.84,19,0.46,0.47,20.88,166.0,182.0,169.0,22.24,22.6,19.0,9.0,7.0,3.0,173.42857142857142,155.0,21.42,80.0,23.2,210.0,20.8,0
Delhi,Central_Delhi,2025-03-13,155,164,58,-1,84,7,4,71,35,5,4.27,0.72,9552,0.77,8,0.62,0.85,21.42,199.0,166.0,182.0,20.88,22.24,22.6,1.0,9.0,7.0,176.28571428571428,113.0,21.22,84.0,19.3,159.0,23.54,0
Delhi,Central_Delhi,2025-03-14,113,189,54,-1,74,4,4,62,32,10,3.36,0.12,9691,0.79,18,0.53,0.76,21.22,155.0,199.0,166.0,21.42,20.88,22.24,5.0,1.0,9.0,165.0,80.0,23.2,213.0,21.1,202.0,25.26,0
Delhi,Central_Delhi,2025-03-15,80,274,61,0,51,4,14,66,59,11,4.9,0.24,15113,0.69,5,0.63,0.85,23.2,113.0,155.0,199.0,21.22,21.42,20.88,10.0,5.0,1.0,152.0,84.0,19.3,85.0,16.36,167.0,19.24,0
Delhi,Central_Delhi,2025-03-16,84,273,49,-1,66,6,6,61,40,6,3.56,0.17,11829,0.53,20,0.47,0.65,19.3,80.0,113.0,155.0,23.2,21.22,21.42,11.0,10.0,5.0,139.85714285714286,213.0,21.1,210.0,20.8,82.0,17.34,0
Delhi,Central_Delhi,2025-03-17,213,154,66,-1,78,3,0,47,34,5,3.7,0.59,8669,0.85,22,0.38,0.51,21.1,84.0,80.0,113.0,19.3,23.2,21.22,6.0,11.0,10.0,144.28571428571428,85.0,16.36,159.0,23.54,123.0,20.36,0
Delhi,Central_Delhi,2025-03-18,85,207,65,-1,48,6,2,57,41,6,3.42,0.39,15617,0.3,20,0.7,0.32,16.36,213.0,84.0,80.0,21.1,19.3,23.2,5.0,6.0,11.0,132.71428571428572,210.0,20.8,202.0,25.26,99.0,18.12,0
Delhi,Central_Delhi,2025-03-19,210,166,63,1,41,4,3,69,45,5,3.62,0.65,14541,0.44,7,0.77,0.35,20.8,85.0,213.0,84.0,16.36,21.1,19.3,6.0,5.0,6.0,134.28571428571428,159.0,23.54,167.0,19.24,143.0,19.34,0
Delhi,Central_Delhi,2025-03-20,159,243,69,-1,80,3,9,65,73,11,3.61,0.46,10874,0.59,19,0.54,0.55,23.54,210.0,85.0,213.0,20.8,16.36,21.1,5.0,6.0,5.0,134.85714285714286,202.0,25.26,82.0,17.34,123.0,21.2,0
Delhi,Central_Delhi,2025-03-21,202,247,33,1,47,5,2,64,58,10,3.23,0.15,12133,0.82,8,0.72,0.65,25.26,159.0,210.0,85.0,23.54,20.8,16.36,11.0,5.0,6.0,147.57142857142858,167.0,19.24,123.0,20.36,170.0,23.0,0
Delhi,Central_Delhi,2025-03-22,167,212,52,-1,63,5,19,40,51,2,1.92,0.25,12786,0.4,22,0.4,0.56,19.24,202.0,159.0,210.0,25.26,23.54,20.8,10.0,11.0,5.0,160.0,82.0,17.34,99.0,18.12,190.0,21.66,0
Delhi,Central_Delhi,2025-03-23,82,217,40,-1,81,4,16,48,63,2,4.94,0.51,12632,0.34,29,0.76,0.88,17.34,167.0,202.0,159.0,19.24,25.26,23.54,2.0,10.0,11.0,159.71428571428572,123.0,20.36,143.0,19.34,112.0,19.76,0
Delhi,Central_Delhi,2025-03-24,123,248,51,1,83,4,1,60,72,3,2.78,0.65,13787,0.4,21,0.56,0.85,20.36,82.0,167.0,202.0,17.34,19.24,25.26,2.0,2.0,10.0,146.85714285714286,99.0,18.12,123.0,21.2,138.0,19.7,0
Delhi,Central_Delhi,2025-03-25,99,165,67,1,55,1,18,51,42,10,4.47,0.77,15598,0.8,13,0.74,0.34,18.12,123.0,82.0,167.0,20.36,17.34,19.24,3.0,2.0,2.0,148.85714285714286,143.0,19.34,170.0,23.0,179.0,20.02,0
Delhi,Central_Delhi,2025-03-26,143,285,31,1,81,7,10,72,73,2,3.35,0.14,13216,0.58,26,0.51,0.59,19.34,99.0,123.0,82.0,18.12,20.36,17.34,10.0,3.0,2.0,139.28571428571428,123.0,21.2,190.0,21.66,139.0,21.32,0
Delhi,Central_Delhi,2025-03-27,123,292,57,1,58,7,11,72,62,8,1.62,0.5,15933,0.8,27,0.39,0.53,21.2,143.0,99.0,123.0,19.34,18.12,20.36,2.0,10.0,3.0,134.14285714285714,170.0,23.0,112.0,19.76,169.0,20.02,0
Delhi,Central_Delhi,2025-03-28,170,271,49,-1,52,6,11,74,71,4,1.91,0.3,10234,0.66,27,0.46,0.88,23.0,123.0,143.0,99.0,21.2,19.34,18.12,8.0,2.0,10.0,129.57142857142858,190.0,21.66,138.0,19.7,86.0,17.5,0
Delhi,Central_Delhi,2025-03-29,190,216,67,1,62,6,7,48,59,1,3.67,0.61,8126,0.63,8,0.65,0.72,21.66,170.0,123.0,143.0,23.0,21.2,19.34,4.0,8.0,2.0,132.85714285714286,112.0,19.76,179.0,20.02,169.0,20.68,0
Delhi,Central_Delhi,2025-03-30,112,272,44,-1,82,7,8,56,47,6,2.88,0.7,9372,0.8,11,0.68,0.5,19.76,190.0,170.0,123.0,21.66,23.0,21.2,1.0,4.0,8.0,137.14285714285714,138.0,19.7,139.0,21.32,88.0,17.68,0
Delhi,Central_Delhi,2025-03-31,138,173,31,1,49,5,14,65,79,4,2.17,0.35,8741,0.43,18,0.74,0.87,19.7,112.0,190.0,170.0,19.76,21.66,23.0,6.0,1.0,4.0,139.28571428571428,179.0,20.02,169.0,20.02,112.0,21.16,0
Delhi,Central_Delhi,2025-04-01,179,154,40,1,72,4,10,56,74,2,3.27,0.18,9862,0.37,14,0.79,0.79,20.02,138.0,112.0,190.0,19.7,19.76,21.66,4.0,6.0,1.0,150.71428571428572,139.0,21.32,86.0,17.5,140.0,19.1,0
Delhi,Central_Delhi,2025-04-02,139,284,47,0,65,5,11,54,78,3,2.66,0.49,9733,0.65,23,0.78,0.81,21.32,179.0,138.0,112.0,20.02,19.7,19.76,2.0,4.0,6.0,150.14285714285714,169.0,20.02,169.0,20.68,115.0,19.32,0
Delhi,Central_Delhi,2025-04-03,169,277,46,-1,82,6,1,51,71,1,4.86,0.44,11824,0.3,24,0.68,0.56,20.02,139.0,179.0,138.0,21.32,20.02,19.7,3.0,2.0,4.0,156.71428571428572,86.0,17.5,88.0,17.68,167.0,20.94,0
Delhi,Central_Delhi,2025-04-04,86,190,64,0,58,3,11,57,67,5,4.16,0.5,9269,0.79,23,0.6,0.65,17.5,169.0,139.0,179.0,20.02,21.32,20.02,1.0,3.0,2.0,144.71428571428572,169.0,20.68,112.0,21.16,87.0,20.96,0
Delhi,Central_Delhi,2025-04-05,169,151,51,-1,71,7,12,69,32,7,4.62,0.71,15321,0.48,28,0.7,0.7,20.68,86.0,169.0,139.0,17.5,20.02,21.32,5.0,1.0,3.0,141.71428571428572,88.0,17.68,140.0,19.1,202.0,22.34,0
Delhi,Central_Delhi,2025-04-06,88,200,66,0,75,1,7,46,68,7,4.97,0.53,12422,0.49,6,0.72,0.38,17.68,169.0,86.0,169.0,20.68,17.5,20.02,7.0,5.0,1.0,138.28571428571428,112.0,21.16,115.0,19.32,154.0,22.32,0
Delhi,Central_Delhi,2025-04-07,112,292,67,0,41,1,9,73,50,7,3.86,0.29,14284,0.35,21,0.59,0.59,21.16,88.0,169.0,86.0,17.68,20.68,17.5,7.0,7.0,5.0,134.57142857142858,140.0,19.1,167.0,20.94,182.0,20.06,0
Delhi,Central_Delhi,2025-04-08,140,271,49,1,53,7,5,78,37,6,2.27,0.13,11320,0.35,29,0.63,0.31,19.1,112.0,88.0,169.0,21.16,17.68,20.68,7.0,7.0,7.0,129.0,115.0,19.32,87.0,20.96,85.0,14.68,0
Delhi,Central_Delhi,2025-04-09,115,165,43,1,66,5,5,63,71,7,3.17,0.59,11050,0.74,23,0.66,0.78,19.32,140.0,112.0,88.0,19.1,21.16,17.68,6.0,7.0,7.0,125.57142857142857,167.0,20.94,202.0,22.34,181.0,24.42,0
Delhi,Central_Delhi,2025-04-10,167,184,44,-1,75,6,10,53,77,9,1.69,0.14,12082,0.41,12,0.5,0.43,20.94,115.0,140.0,112.0,19.32,19.1,21.16,7.0,6.0,7.0,125.28571428571429,87.0,20.96,154.0,22.32,161.0,22.06,0
Delhi,Central_Delhi,2025-04-11,87,286,65,1,76,7,16,70,31,8,3.38,0.77,9459,0.55,7,0.53,0.59,20.96,167.0,115.0,140.0,20.94,19.32,19.1,9.0,7.0,6.0,125.42857142857143,202.0,22.34,182.0,20.06,180.0,22.54,0
Delhi,Central_Delhi,2025-04-12,202,180,69,-1,45,3,7,59,45,6,4.54,0.56,8899,0.58,15,0.65,0.58,22.34,87.0,167.0,115.0,20.96,20.94,19.32,8.0,9.0,7.0,130.14285714285714,154.0,22.32,85.0,14.68,168.0,23.02,0
